"","OTU","Sensitive_A","Tolerant_A","Sensitive_O","Tolerant_O"
"275","C2_S50_L004_contig_4206",FALSE,FALSE,TRUE,FALSE
"276","C2_S50_L004_contig_4215",TRUE,FALSE,FALSE,FALSE
"277","C2_S50_L004_contig_424",TRUE,FALSE,TRUE,FALSE
"278","C2_S50_L004_contig_4260",FALSE,FALSE,TRUE,FALSE
"279","C2_S50_L004_contig_4290",TRUE,FALSE,TRUE,FALSE
"280","C2_S50_L004_contig_4303",TRUE,FALSE,TRUE,FALSE
"281","C2_S50_L004_contig_441",TRUE,FALSE,FALSE,FALSE
"282","C2_S50_L004_contig_464",FALSE,FALSE,FALSE,TRUE
"283","C2_S50_L004_contig_539",FALSE,TRUE,FALSE,TRUE
"284","C2_S50_L004_contig_57",FALSE,FALSE,TRUE,FALSE
"285","C2_S50_L004_contig_603",FALSE,TRUE,FALSE,FALSE
"286","C2_S50_L004_contig_616",TRUE,FALSE,TRUE,FALSE
"287","C2_S50_L004_contig_621",FALSE,FALSE,TRUE,FALSE
"288","C2_S50_L004_contig_636",FALSE,FALSE,TRUE,FALSE
"289","C2_S50_L004_contig_647",TRUE,FALSE,TRUE,FALSE
"290","C2_S50_L004_contig_712",TRUE,FALSE,TRUE,FALSE
"291","C2_S50_L004_contig_740",TRUE,FALSE,FALSE,FALSE
"292","C2_S50_L004_contig_766",FALSE,FALSE,FALSE,TRUE
"293","C2_S50_L004_contig_784",FALSE,FALSE,TRUE,FALSE
"294","C2_S50_L004_contig_83",TRUE,FALSE,TRUE,FALSE
"295","C2_S50_L004_contig_839",FALSE,FALSE,TRUE,FALSE
"296","C2_S50_L004_contig_975",TRUE,FALSE,TRUE,FALSE
"297","C3_S51_L004_contig_108",FALSE,FALSE,TRUE,FALSE
"298","C3_S51_L004_contig_111",TRUE,FALSE,TRUE,FALSE
"299","C3_S51_L004_contig_1123",FALSE,FALSE,TRUE,FALSE
"300","C3_S51_L004_contig_1149",FALSE,FALSE,TRUE,FALSE
"301","C3_S51_L004_contig_1293",TRUE,FALSE,FALSE,FALSE
"302","C3_S51_L004_contig_1346",FALSE,FALSE,TRUE,FALSE
"303","C3_S51_L004_contig_137",FALSE,FALSE,TRUE,FALSE
"304","C3_S51_L004_contig_1389",FALSE,FALSE,TRUE,FALSE
"305","C3_S51_L004_contig_1397",TRUE,FALSE,FALSE,FALSE
